seller_id,seller_state,total_orders,total_revenue,avg_review_score,late_rate_pct,avg_delay_days,composite_score,performance_tier,perf_rank,perf_quartile
e256a62e0ac58c0edfba09966142d561,PR,12,1474.11,4.42,0.0,-17.0,68.5,Good,222,1
0241d4d5d36f10f80c644447315af0bd,PR,230,30694.88,4.4,4.8,-12.9,68.5,Good,222,1
7f7b8245c336066a1f9933c359f11d77,SP,38,2094.36,4.55,2.6,-12.1,68.5,Good,222,1
abc015ebac1d283a323ca9db35ede4b9,SP,12,1106.8,4.42,0.0,-15.0,68.5,Good,222,1
c70c1b0d8ca86052f45a432a38b73958,SP,259,36317.73,4.38,5.4,-9.0,68.5,Good,222,1
c84592044b180dec206770c38603814b,SP,14,491.94,4.43,0.0,-13.3,68.5,Good,222,1
c003204e1ab016dfa150abc119207b24,SP,194,24815.39,4.48,5.2,-11.4,68.5,Good,222,1
fc906263ca5083d09dce42fe02247800,MG,112,4437.8,4.39,0.0,-14.8,68.5,Good,222,1
ed4311e67debd72b8610a5347a743087,SP,25,3636.0,4.62,4.0,-8.6,68.5,Good,222,1
8603f0038fe0e52fedd3382d266723de,SC,10,2355.0,4.4,0.0,-11.8,68.4,Good,231,1
1c5e4e49b9079480255b49d50aac1aa9,SP,12,10173.11,4.33,0.0,-12.2,68.4,Good,231,1
1660ad786c27fd935378b6192a90b417,SP,11,1440.0,4.91,9.1,-11.5,68.4,Good,231,1
1e8b33f18b4f7598d87f5cbee2282cc2,SP,119,16867.57,4.45,3.4,-10.9,68.4,Good,231,1
0885aaf116795758dfeb5f1032487bcd,SP,25,2660.98,4.4,0.0,-11.5,68.4,Good,231,1
c66dccfb3f109511246da627dd5a2498,SP,43,12441.65,4.56,4.7,-15.0,68.4,Good,231,1
55a5b51f93f2b70ea513f5a047b0262a,MG,38,3967.7,4.53,2.6,-12.2,68.4,Good,231,1
9d4db00d65d7760644ac0c14edb5fd86,SP,97,9845.71,4.54,4.1,-11.5,68.3,Good,238,1
ceaec5548eefc6e23e6607c5435102e7,SP,197,51426.18,4.2,5.1,-15.2,68.3,Good,238,1
cbf09e831b0c11f6f23ffb51004db972,SP,10,1535.2,4.4,0.0,-13.5,68.3,Good,238,1
a3a38f4affed601eb87a97788c949667,SC,249,26496.22,4.4,4.4,-14.6,68.3,Good,238,1
3fac58ce0ad699020c7944d53c41329c,SP,10,1460.61,4.4,0.0,-7.3,68.3,Good,238,1
